ID	FCLower	FCUpper
3108	1	3
2220	1	3
5315	1	3
2033	1	3
6890	1	3
3133	1	3
3537	1	3
3111	1	3
5518	1	3
7106	1	3
9794	1	3
3135	1	3
3126	1	3
11026	1	3
3824	-3	-1
732	1	3
3119	1	3
712	-3	-1
718	-3	-1
4179	-3	-1
3514	1	3
3500	-3	-1
733	1	3
1380	-3	-1
23075	1	3
165918	1	3
715	-3	-1
725	1	3
355	1	3
3329	1	3
5580	1	3
2207	1	3
55061	1	3
735	1	3
6347	1	3
5473	-3	-1
6374	-3	-1
2919	-3	-1
6367	-3	-1
6363	1	3
10850	1	3
58191	1	3
6369	1	3
56477	1	3
6368	1	3
6351	-3	-1
6372	-3	-1
5197	1	3
6370	1	3
6360	-3	-1
1050	-3	-1
64806	1	3
863	-3	-1
79576	-3	-1
6670	-3	-1
51176	1	3
161882	-3	-1
51447	1	3
4852	-3	-1
3445	1	3
6355	-3	-1
51561	-3	-1
6362	-3	-1
11043	1	3
3113	-3	-1
10107	1	3
8751	-3	-1
10527	1	3
3428	-3	-1
245932	-3	-1
6714	-3	-1
1671	-3	-1
6346	-3	-1
55223	-3	-1
965	-3	-1
25	-3	-1
10410	-3	-1
2197	1	3
6366	-3	-1
10492	-3	-1
3383	-3	-1
100132285	-3	-1
8344	-3	-1
3665	-3	-1
2597	1	3
7525	-3	-1
1536	1	3
4600	1	3
9582	1	3
3460	1	3
353514	-3	-1
6283	1	3
5871	-3	-1
50856	1	3
8517	1	3
7474	1	3
29108	1	3
5966	1	3
11074	-3	-1
89870	-3	-1
5753	1	3
245937	-3	-1
117285	1	3
10462	-3	-1
6364	1	3
3140	-3	-1
51311	-3	-1
1436	-3	-1
10383	-3	-1
30835	-3	-1
3430	-3	-1
6037	1	3
1191	1	3
3934	-3	-1
114836	1	3
5696	1	3
4688	1	3
2643	-3	-1
55703	-3	-1
6356	1	3
7099	1	3
1113	1	3
1958	1	3
6170	1	3
245936	-3	-1
2058	1	3
64135	-3	-1
2210	-3	-1
8772	1	3
729	1	3
2444	1	3
3106	-3	-1
4153	1	3
5987	-3	-1
684	-3	-1
3451	1	3
1613	1	3
79132	1	3
3442	1	3
6441	1	3
6732	1	3
6233	1	3
55359	-3	-1
400830	1	3
3495	-3	-1
4435	-3	-1
83737	-3	-1
1594	-3	-1
8638	-3	-1
81030	1	3
4210	1	3
9447	-3	-1
731	1	3
51284	-3	-1
81623	1	3
2268	-3	-1
4057	-3	-1
117157	1	3
84282	-3	-1
3120	-3	-1
3117	1	3
730	1	3
24138	-3	-1
26057	-3	-1
6725	1	3
837	-3	-1
796	-3	-1
6278	-3	-1
1670	-3	-1
7098	-3	-1
7297	1	3
660	-3	-1
2150	-3	-1
6397	1	3
7316	1	3
830	-3	-1
3437	1	3
11326	-3	-1
1445	1	3
23569	1	3
115362	-3	-1
3002	1	3
79792	-3	-1
3004	-3	-1
1906	1	3
6672	1	3
3702	1	3
338376	1	3
9140	-3	-1
55337	-3	-1
81494	1	3
7535	1	3
361	-3	-1
8767	1	3
4360	1	3
170482	1	3
26253	1	3
558	1	3
54739	-3	-1
10188	-3	-1
8876	-3	-1
26525	1	3
9641	-3	-1
245938	-3	-1
27177	-3	-1
6845	-3	-1
4063	-3	-1
54145	-3	-1
9181	-3	-1
4938	1	3
3455	-3	-1
6590	1	3
163702	1	3
6504	-3	-1
4790	1	3
3449	1	3
11151	1	3
5319	1	3
4615	1	3
51297	-3	-1
2219	1	3
58509	-3	-1
3459	1	3
8349	-3	-1
815	1	3
80328	-3	-1
4486	-3	-1
661	-3	-1
51135	1	3
54209	1	3
7097	1	3
7096	1	3
3448	1	3
7305	1	3
3149	-3	-1
8711	1	3
81035	-3	-1
713	-3	-1
3965	-3	-1
3669	-3	-1
9971	1	3
8542	-3	-1
5777	-3	-1
960	-3	-1
245934	1	3
256987	-3	-1
2000	1	3
81603	1	3
8808	-3	-1
8970	-3	-1
201294	1	3
3055	-3	-1
81559	1	3
1378	-3	-1
29110	1	3
3115	-3	-1
5610	-3	-1
3810	1	3
6280	-3	-1
1435	-3	-1
3929	-3	-1
7006	-3	-1
820	-3	-1
7412	1	3
284297	1	3
114771	-3	-1
57506	1	3
10623	-3	-1
445	1	3
6737	-3	-1
710	-3	-1
8347	-3	-1
55601	-3	-1
8993	1	3
6773	-3	-1
338339	-3	-1
51734	1	3
4281	-3	-1
7187	1	3
55718	-3	-1
5724	1	3
717	-3	-1
4277	1	3
